31_1	What is throat cancer? 
31_2	Is throat cancer treatable? 
31_3	Tell me about lung cancer? 
31_4	What are the symptoms of lung cancer? 
31_5	Can lung cancer spread to the throat? 
31_6	What causes throat cancer? 
31_7	What is the first sign of lung cancer? 
31_8	Is it the same as esophageal cancer? 
31_9	What's the difference in esophageal cancer's symptoms? 
32_1	What are the different types of sharks? 
32_2	Are sharks endangered? 
32_3	Tell me more about tiger sharks? 
32_4	What is the largest ever to have lived on Earth? 
32_5	What's the biggest shark ever caught? 
32_6	What about for great whites? 
32_7	Tell me about makos? 
32_8	What are great whites adaptations? 
32_9	Where do Great Whites live? 
32_10	What do they eat? 
32_11	How do they compare with tigers for being dangerous? 
33_1	Tell me about the Neverending Story film. 
33_2	What is Neverending Story about? 
33_3	How was the Neverending Story film received? 
33_4	Did Neverending Story win any awards? 
33_5	Was it a book first? 
33_6	Who was the author and when what it published? 
33_7	What are the main themes? 
33_8	Who are the main characters? 
34_1	Tell me about the Bronze Age collapse. 
34_2	What is the evidence for the Bronze Age collapse? 
34_3	What are some of the possible causes of the Bronze Age collapse? 
34_4	Who were the Sea Peoples? 
34_5	What was the Sea Peoples role in it? 
34_6	What other factors led to a breakdown of trade? 
34_7	What about environmental factors? 
34_8	What empires survived? 
37_1	What was the Stanford Experiment? 
37_2	What did the Stanford Experiment show? 
37_3	Tell me about the author of the Stanford Experiment? 
37_4	Was the Stanford Experiment ethical? 
37_5	What are other similar experiments? 
37_6	What happened in the Milgram experiment? 
37_7	Why was the Milgram experiment important? 
37_8	What were the similarities and differences between the studies? 
40_1	What are the origins of popular music? 
40_2	What are popular music's characteristics? 
40_3	What technological developments enabled popular music? 
40_4	When and why did people start taking pop seriously? 
40_5	How has Pop been integrated into music education? 
40_6	Describe some of the influential pop bands? 
40_7	What makes a song pop punk? 
40_8	What is the difference between a song pop punk and emo? 
49_1	How was Netflix started? 
49_2	How did Netflix originally work? 
49_3	What is Netflix's relationship with Blockbuster? 
49_4	When did Netflix shift from DVDs to a streaming service? 
49_5	What are Blockbuster's other competitors? 
49_6	How does Netflix compare to Amazon Prime Video? 
49_7	Describe it's subscriber growth over time? 
49_8	How has Netflix changed the way TV is watched? 
50_1	What was the first artificial satellite? 
50_2	What are the types of orbits? 
50_3	What are the important classes of satellite? 
50_4	How do navigation systems work? 
50_5	What is the Galileo system and why is it important? 
50_6	Why did the Galileo system create tension with the US? 
50_7	What are Cubesats? 
50_8	What are Cubesats' advantages? 
54_1	What is worth seeing in Washington D.C.? 
54_2	Which Smithsonian museums are the most popular? 
54_3	Why is the National Air and Space Museum important? 
54_4	Is the National Air and Space Museum free? 
54_5	What is there to do in DC after the National Air and Space Museum close? 
54_6	What is the best time to visit the reflecting pools in DC? 
54_7	Are there any famous foods in the Smithsonian museums? 
54_8	What is a DC half smoke? 
54_9	Tell me about DC's history? 
56_1	What is Darwin's theory in a nutshell? 
56_2	How was Darwin's theory developed? 
56_3	How do sexual and asexual reproduction affect Darwin's theory? 
56_4	How can fossils be used to understand sexual and asexual reproduction? 
56_5	What is modern evidence for sexual and asexual reproduction? 
56_6	What is the impact on modern biology? 
56_7	Compare and contrast microevolution and macroevolution? 
56_8	What is the relationship to speciation? 
58_1	What is a real-time database? 
58_2	How does a real-time database differ from traditional ones? 
58_3	What are the advantages of real-time processing? 
58_4	What are examples of important real-time processing? 
58_5	What are important applications of real-time processing? 
58_6	What are important cloud options? 
58_7	Tell me about the Firebase DB? 
58_8	How is the Firebase DB used in mobile apps? 
59_1	Which weekend sports have the most injuries? 
59_2	What are the most common types of injuries for weekend sports? 
59_3	What is the ACL? 
59_4	What is an injury for the ACL? 
59_5	Tell me about the RICE method? 
59_6	Is there disagreement about the RICE method? 
59_7	What is arnica used for? 
59_8	What are some ways to avoid injury? 
61_1	Who are The Avengers? 
61_2	Tell me about The Avengers' first appearance? 
61_3	Who is the most powerful and why? 
61_4	What is the relationship of Spider-Man to the Avengers? 
61_5	Why is Batman not a member of The Avengers? 
61_6	What is an important team in the DC universe? 
61_7	Tell me about the origins of the Justice League? 
61_8	Who are the important members of Batman? 
67_1	Why is Blood Red? 
67_2	What are red blood cells? 
67_3	How are red blood cells created? 
67_4	How is oxygen transported? 
67_5	What is anemia? 
67_6	What are the symptoms of anemia? 
67_7	Can anemia go away? 
67_8	What are the possible causes of anemia? 
67_9	How is anemia treated? 
67_10	What foods contain high levels of iron? 
67_11	What improves absorption? 
68_1	What is cuisine is Emilia-Romagna famous for? 
68_2	Tell me about cooking schools and classes in Emilia-Romagna? 
68_3	What are famous foods from Emilia-Romagna? 
68_4	Describe the traditional process for making balsamic vinegar? 
68_5	What is mortadella and where is it from? 
68_6	What's the difference with Bologna? 
68_7	Where was Parmesan cheese created? 
68_8	What is done with Parmesan cheese after production? 
68_9	What are typical pasta dishes? 
68_10	What is the history of tagliatelle al ragu bolognese? 
68_11	What are tagliatelle al ragu bolognese common variations? 
69_1	How do you sleep after jet lag? 
69_2	Does melatonin help you sleep after jet lag? 
69_3	How was melatonin discovered? 
69_4	What are good sources in food? 
69_5	Is melatonin bad for you? 
69_6	What are the side effects of melatonin? 
69_7	Why does melatonin require a prescription in the UK? 
69_8	How can I increase my levels naturally? 
69_9	Is melatonin effective for treating insomnia? 
69_10	Is it effective for treating insomnia? 
75_1	Why do Turkey and Turkey share the same name? 
75_2	Where are turkeys from? 
75_3	What was turkeys' importance in native cultures? 
75_4	When and how were turkeys domesticated? 
75_5	Can turkeys fly? 
75_6	Why did Ben Franklin want turkey to be the national symbol? 
75_8	Why is turkey eaten on Thanksgiving? 
77_1	What's the difference between soup and stew? 
77_2	Is chilli a stew? 
77_3	What is the difference between soup and stew? 
77_4	What are popular ones in France? 
77_5	How is cassoulet made? 
77_6	Tell me about feijoada and its significance? 
77_7	How is feijoada similar or different from cassoulet? 
77_8	Tell about Bigos stew? 
78_1	What is the keto diet? 
78_2	Why was the keto diet original developed? 
78_3	What is ketosis? 
78_4	What is paleo? 
78_5	What do the ketosis have in common? 
78_6	How are they different? 
78_7	What is intermittent fasting? 
78_8	How is intermittent fasting related to keto? 
79_1	What is taught in sociology? 
79_2	What is the main contribution of Auguste Comte? 
79_3	What is the role of positivism in Auguste Comte? 
79_4	What is Herbert Spencer known for? 
79_5	How is Herbert Spencer's work related to Auguste Comte? 
79_6	What is the functionalist theory? 
79_7	What is Auguste Comte's main criticism? 
79_8	How does Comte compare to conflict theory? 
79_9	What are modern examples of conflict theory? 
