31_1	 What is throat cancer?
31_2	What is throat cancer? Is throat cancer treatable?
31_3	Is it treatable? Tell me about lung cancer?
31_4	Tell me about lung cancer. What are lung cancer's symptoms?
31_5	What are its symptoms? Can lung cancer spread to the throat?
31_6	Can it spread to the throat? What causes throat cancer?
31_7	What causes throat cancer? What is the first sign of lung cancer?
31_8	What is the first sign of it? Is lung cancer the same as esophageal cancer?
31_9	Is it the same as esophageal cancer? What's the difference in esophageal cancer symptoms?
32_1	 What are the different types of sharks?
32_2	What are the different types of sharks? Are sharks endangered? If so, which species?
32_3	Are sharks endangered?  If so, which species? Tell me more about Tiger sharks?
32_4	Tell me more about tiger sharks. What is the largest ever to have lived on Earth?
32_5	What is the largest ever to have lived on Earth? What's the biggest ever caught on Earth?
32_6	What's the biggest ever caught? What about for great whites?
32_7	What about for great whites? Tell me about tiger sharks.
32_8	Tell me about makos. What are Tiger shark adaptations?
32_9	What are their adaptations? Where do the Great Whites live?
32_10	Where do they live? What do the Great Whites eat?
32_11	What do they eat? How do the Great Whites compare with tigers for being dangerous?
33_1	 Tell me about the Neverending Story film.
33_2	Tell me about the Neverending Story film. What is Neverending Story about?
33_3	What is it about? How was Neverending Story received?
33_4	How was it received? Did Neverending Story win any awards?
33_5	Did it win any awards? Was Neverending Story a book first?
33_6	Was it a book first? Who was the author and when what it published?
33_7	Who was the author and when what it published? What are the main themes of The Birth of a Nation?
33_8	What are the main themes? Who are the main characters of The Birth of a Nation?
34_1	 Tell me about the Bronze Age collapse.
34_2	Tell me about the Bronze Age collapse. What is the evidence for the Bronze Age collapse?
34_3	What is the evidence for it? What are some of the possible causes of the Bronze Age collapse?
34_4	What are some of the possible causes? Who were the Sea Peoples in the Bronze Age collapse?
34_5	Who were the Sea Peoples? What was the Sea Peoples role in the Bronze Age collapse?
34_6	What was their role in it? What other factors led to a breakdown of trade in the Bronze Age?
34_7	What other factors led to a breakdown of trade? What about environmental factors?
34_8	What about environmental factors? What empires survived by the Sea peoples?
37_1	 What was the Stanford Experiment?
37_2	What was the Stanford Experiment? What did the Stanford Experiment show?
37_3	What did it show? Tell me about the author of the Stanford Experiment.
37_4	Tell me about the author of the experiment. Was the Stanford Experiment ethical?
37_5	Was it ethical? What are other similar experiments to the Stanford Experiment?
37_6	What are other similar experiments? What happened in the Milgram experiment?
37_7	What happened in the Milgram experiment? Why was the Milgram experiment important?
37_8	Why was it important? What were the similarities and differences between the experiments?
40_1	 What are the origins of popular music?
40_2	What are the origins of popular music? What are popular music's characteristics?
40_3	What are its characteristics? What technological developments enabled popular music?
40_4	What technological developments enabled it? When and why did people start taking pop seriously?
40_5	When and why did people start taking pop seriously? How has popular music been integrated into music education?
40_6	How has it been integrated into music education? Describe some of the influential pop bands?
40_7	Describe some of the influential pop bands. What makes a song pop punk?
40_8	What makes a song pop punk? What is the difference between pop punk and emo?
49_1	 How was Netflix started?
49_2	How was Netflix started? How did Netflix originally work?
49_3	How did it originally work? What is Netflix's relationship with Blockbuster?
49_4	What is its relationship with Blockbuster? When did Netflix shift from DVDs to a streaming service?
49_5	When did Netflix shift from DVDs to a streaming service? What are Netflix's other competitors besides Blockbuster?
49_6	What are its other competitors? How does it compare to Amazon Prime Video?
49_7	How does it compare to Amazon Prime Video? Describe it’s subscriber growth over time?
49_8	Describe it’s subscriber growth over time. How has Netflix changed the way TV is watched?
50_1	 What was the first artificial satellite?
50_2	What was the first artificial satellite? What are the types of orbits?
50_3	What are the types of orbits? What are the important classes of satellite?
50_4	What are the important classes of satellite? How do navigation systems work for artificial satellites?
50_5	How do navigation systems work? What is the Galileo system and why is it important?
50_6	What is the Galileo system and why is it important? Why did the Galileo system create tension with the US?
50_7	Why did it create tension with the US? What are Cubesats?
50_8	What are Cubesats? What are Cubesats advantages?
54_1	 What is worth seeing in Washington D.C.?
54_2	What is worth seeing in Washington D.C.? Which Smithsonian museums are the most popular in Washington D.C.?
54_3	Which Smithsonian museums are the most popular? Why is the National Air and Space Museum important?
54_4	Why is the National Air and Space Museum important? Is the Spy Museum free?
54_5	Is the Spy Museum free? What is there to do in DC after the National Air and Space Museum close?
54_6	What is there to do in DC after the museums close? What is the best time to visit the reflecting pools?
54_7	What is the best time to visit the reflecting pools? Are there any famous foods at the National Air and Space Museum?
54_8	Are there any famous foods? What is a DC half smoke?
54_9	What is a DC half smoke? Tell me about the Spy Museum's history.
56_1	 What is Darwin's theory in a nutshell?
56_2	What is Darwin’s theory in a nutshell? How was Darwin's theory developed?
56_3	How was it developed? How do sexual and asexual reproduction affect Darwin's theory?
56_4	How do sexual and asexual reproduction affect it? How can fossils be used to understand Darwin's theory?
56_5	How can fossils be used to understand it? What is modern evidence for Darwin's theory?
56_6	What is modern evidence for it? What is the impact on modern biology?
56_7	What is the impact on modern biology? Compare and contrast microevolution and macroevolution.
56_8	Compare and contrast microevolution and macroevolution. What is the relationship to speciation?
58_1	 What is a real-time database?
58_2	What is a real-time database? How does a real-time database differ from traditional ones?
58_3	How does it differ from traditional ones? What are the advantages of real-time processing?
58_4	What are the advantages of real-time processing? What are examples of important databases?
58_5	What are examples of important ones? What are important applications for real-time databases?
58_6	What are important applications? What are important cloud options for real-time databases?
58_7	What are important cloud options? Tell me about the Firebase DB.
58_8	Tell me about the Firebase DB. How is the Firebase DB used in mobile apps?
59_1	 Which weekend sports have the most injuries?
59_2	Which weekend sports have the most injuries? What are the most common types of injuries in weekend sports?
59_3	What are the most common types of injuries? What is the ACL?
59_4	What is the ACL? What is an injury for the ACL?
59_5	What is an injury for it? Tell me about the RICE method.
59_6	Tell me about the RICE method. Is there disagreement about the ACL?
59_7	Is there disagreement about it? What is arnica used for?
59_8	What is arnica used for? What are some ways to avoid arnica?
61_1	 Who are The Avengers?
61_2	Who are The Avengers? Tell me about The Avengers' first appearance.
61_3	Tell me about their first appearance. Who is the most powerful and why?
61_4	Who is the most powerful and why? What is the relationship of Spider-Man to the team?
61_5	What is the relationship of Spider-Man to the team? Why is Batman not a member?
61_6	Why is Batman not a member? What is an important team in the DC universe?
61_7	What is an important team in the DC universe? Tell me about the origins of the Justice League.
61_8	Tell me about the origins of the Justice League. Who are the important members of the Justice League?
67_1	 Why is Blood Red?
67_2	Why is blood red? What are red blood cells?
67_3	What are red blood cells? How are red blood cells created?
67_4	How are they created? How is oxygen transported by red blood cells?
67_5	How is oxygen transported? What is anemia?
67_6	What is anemia? What are the symptoms of red blood cells?
67_7	What are the symptoms? Can red blood cells go away?
67_8	Can it go away? What are the possible causes of anemia?
67_9	What are its possible causes? How is anemia treated?
67_10	How is it treated? What foods contain high levels of iron?
67_11	What foods contain high levels of iron? What improves absorption?
68_1	 What is cuisine is Emilia-Romagna famous for?
68_2	What is cuisine is Emilia-Romagna famous for? Tell me about Emilia-Romagna's cooking schools and classes.
68_3	Tell me about cooking schools and classes. What are famous foods from Emilia-Romagna?
68_4	What are famous foods from the region? Describe the traditional process for making balsamic vinegar?
68_5	Describe the traditional process for making balsamic vinegar? What is mortadella and where is it from?
68_6	What is mortadella and where is it from? What's the difference between Emilia-Romagna and Bologna
