31_1	"What is throat cancer?
"
31_2	"Is throat cancer treatable?
"
31_3	"Tell me about lung cancer.
"
31_4	"What are lung cancer's symptoms?
"
31_5	"Can lung cancer spread to the throat?
"
31_6	"What causes throat cancer?
"
31_7	"What is the first sign of throat cancer?
"
31_8	"Is throat cancer the same as esophageal cancer?
"
31_9	"What's the difference in throat cancer and esophageal cancer's symptoms?
"
32_1	"What are the different types of sharks?
"
32_2	"Are sharks endangered? If so, which species?
"
32_3	"Tell me more about tiger sharks.
"
32_4	"What is the largest shark ever to have lived on Earth?
"
32_5	"What's the biggest shark ever caught?
"
32_6	"What about for great whites?
"
32_7	"Tell me about Mako sharks.
"
32_8	"What are Mako shark adaptations?
"
32_9	"Where do Mako sharks live?
"
32_10	"What do Mako sharks eat?
"
32_11	"How do Mako sharks compare with Tiger sharks for being dangerous?
"
33_1	"Tell me about the Neverending Story film.
"
33_2	"What is the Neverending Story film about?
"
33_3	"How was the Neverending Story film received?
"
33_4	"Did the Neverending Story film win any awards?
"
33_5	"Was the Neverending Story film a book first?
"
33_6	"Who was the author and when was the Neverending Story film published?
"
33_7	"What are the main themes of the Neverending Story film?
"
33_8	"Who are the main characters of the the Neverending Story film?
"
34_1	"Tell me about the Bronze Age collapse.
"
34_2	"What is the evidence for the Bronze Age collapse?
"
34_3	"What are some of the possible causes of the Bronze Age collapse?
"
34_4	"Who were the Sea Peoples during the Bronze Age collapse?
"
34_5	"What was their role in the Bronze Age collapse?
"
34_6	"What other factors led to a breakdown of trade during the Bronze Age collapse?
"
34_7	"What about environmental factors during the Bronze Age collapse?
"
34_8	"What empires survived the Bronze Age collapse?
"
37_1	"What was the Stanford Experiment?
"
37_2	"What did the Stanford Experiment show?
"
37_3	"Tell me about the author of the Stanford Experiment.
"
37_4	"Was the Stanford Experiment ethical?
"
37_5	"What are other similar experiments to the Stanford Experiment?
"
37_6	"What happened in the Milgram experiment?
"
37_7	"Why was the Milgram experiment important?
"
37_8	"What were the similarities and differences between the Stanford Experiment and the Milgram experiment?
"
40_1	"What are the origins of popular music?
"
40_2	"What are popular music's characteristics?
"
40_3	"What technological developments enabled popular music?
"
40_4	"When and why did people start taking pop music seriously?
"
40_5	"How has pop music been integrated into music education?
"
40_6	"Describe some of the influential pop bands.
"
40_7	"What makes a song pop punk?
"
40_8	"What is the difference between pop punk and emo?
"
49_1	"How was Netflix started?
"
49_2	"How did Netflix originally work?
"
49_3	"What is Netflix's relationship with Blockbuster?
"
49_4	"When did Netflix shift from DVDs to a streaming service?
"
49_5	"What are Netflix's other competitors than Blockbuster?
"
49_6	"How does Netflix compare to Amazon Prime Video?
"
49_7	"Describe Netflix's subscriber growth over time.
"
49_8	"How has Netflix changed the way TV is watched?
"
50_1	"What was the first artificial satellite?
"
50_2	"What are the types of satellite orbits?
"
50_3	"What are the important classes of artificial satellites?
"
50_4	"How do satellite navigation systems work?
"
50_5	"What is the Galileo system and why is it important?
"
50_6	"Why did the Galileo system create tension with the US?
"
50_7	"What are Cubesats?
"
50_8	"What are Cubesats' advantages?
"
54_1	"What is worth seeing in Washington D.C.?
"
54_2	"Which Smithsonian museums in Washington D.C. are the most popular?
"
54_3	"Why is the National Air and Space Museum important?
"
54_4	"Is the Spy Museum in Washington D.C. free?
"
54_5	"What is there to do in Washington D.C. after the museums close?
"
54_6	"What is the best time to visit the reflecting pools in Washington D.C.?
"
54_7	"Are there any famous foods in Washington D.C.?
"
54_8	"What is a DC half smoke?
"
54_9	"Tell me about DC half smoke's history.
"
56_1	"What is Darwin’s theory in a nutshell?
"
56_2	"How was Darwin’s theory developed?
"
56_3	"How do sexual and asexual reproduction affect Darwin’s theory?
"
56_4	"How can fossils be used to understand Darwin’s theory?
"
56_5	"What is modern evidence for Darwin’s theory?
"
56_6	"What is the impact of Darwin’s theory on modern biology?
"
56_7	"Compare and contrast microevolution and macroevolution.
"
56_8	"What is the relationship of Darwin's theory to speciation?
"
58_1	"What is a real-time database?
"
58_2	"How does a real-time database differ from traditional databases?
"
58_3	"What are the advantages of real-time processing in real-time databases?
"
58_4	"What are examples of important real-time databases?
"
58_5	"What are important applications of real-time databases?
"
58_6	"What are important cloud options for real-time databases?
"
58_7	"Tell me about the Firebase DB.
"
58_8	"How is Firebase DB used in mobile apps?
"
59_1	"Which weekend sports have the most injuries?
"
59_2	"What are the most common types of injuries?
"
59_3	"What is the ACL?
"
59_4	"What is an injury for the ACL?
"
59_5	"Tell me about the RICE method.
"
59_6	"Is there disagreement about the RICE method?
"
59_7	"What is arnica used for in sports injuries?
"
59_8	"What are some ways to avoid sports injuries?
"
61_1	"Who are The Avengers?
"
61_2	"Tell me about The Avengers' first appearance.
"
61_3	"Who is the most powerful of The Avengers and why?
"
61_4	"What is the relationship of Spider-Man to The Avengers?
"
61_5	"Why is Batman not a member of The Avengers?
"
61_6	"What is an important team in the DC universe?
"
61_7	"Tell me about the origins of the Justice League in the DC universe.
"
61_8	"Who are the important members of the Justice League?
"
67_1	"Why is blood red?
"
67_2	"What are red blood cells?
"
67_3	"How are red blood cells created?
"
67_4	"How is oxygen transported in blood?
"
67_5	"What is anemia?
"
67_6	"What are the symptoms of anemia?
"
67_7	"Can anemia go away?
"
67_8	"What are anemia's possible causes?
"
67_9	"How is anemia treated?
"
67_10	"What foods contain high levels of iron?
"
67_11	"What improves iron absorption?
"
68_1	"What is cuisine is Emilia-Romagna famous for?
"
68_2	"Tell me about cooking schools and classes in Emilia-Romagna.
"
68_3	"What are famous foods from Emilia-Romagna?
"
68_4	"Describe the traditional process for making balsamic vinegar.
"
68_5	"What is mortadella and where is it from?
"
68_6	"What’s the difference between mortadella and bologna?
"
68_7	"Where was Parmesan cheese created?
"
68_8	"What is done with the whey after production of Parmesan cheese?
"
68_9	"What are typical pasta dishes from Emilia-Romagna?
"
68_10	"What is the history of tagliatelle al ragu bolognese?
"
68_11	"What are common variations of tagliatelle al ragu bolognese?
"
69_1	"How do you sleep after jet lag?
"
69_2	"Does melatonin help with jet lag?
"
69_3	"How was melatonin discovered?
"
69_4	"What are good sources of melatonin in food?
"
69_5	"Is melatonin bad for you?
"
69_6	"What are the side effects of melatonin?
"
69_7	"Why does melatonin require a prescription in the UK?
"
69_8	"How can I increase my melatonin levels naturally?
"
69_9	"Is melatonin effective for treating insomnia?
"
69_10	"How about melatonin's effect for anxiety?
"
75_1	"Why do turkey and Turkey share the same name?
"
75_2	"Where are turkeys from?
"
75_3	"What was the importance of turkey in native cultures?
"
75_4	"When and how were turkeys domesticated?
"
75_5	"Can turkeys fly?
"
75_6	"Why did Ben Franklin want turkey to be the national symbol?
"
75_8	"Why is turkey eaten on Thanksgiving?
"
77_1	"What's the difference between soup and stew?
"
77_2	"Is chilli a stew?
"
77_3	"Is goulash a stew?
"
77_4	"What are popular stews in France?
"
77_5	"How is cassoulet made?
"
77_6	"Tell me about feijoada and its significance.
"
77_7	"How is feijoada similar or different from cassoulet?
"
77_8	"Tell about Bigos stew.
"
78_1	"What is the keto diet?
"
78_2	"Why was keto diet originally developed?
"
78_3	"What is ketosis?
"
78_4	"What is paleo diet?
"
78_5	"What do paleo diet and keto diet have in common?
"
78_6	"How are paleo diet and keto diet different?
"
78_7	"What is intermittent fasting?
"
78_8	"How is intermittent fasting related to keto?
"
79_1	"What is taught in sociology?
"
79_2	"What is the main contribution of Auguste Comte to sociology?
"
79_3	"What is the role of positivism in sociology?
"
79_4	"What is Herbert Spencer known for in sociology?
"
79_5	"How is Herbert Spencer's work related to Comte?
"
79_6	"What is the functionalist theory in sociology?
"
79_7	"What is the main criticism of functionalist theory in sociology?
"
79_8	"How does functionalist theory compare to conflict theory?
"
79_9	"What are modern examples of conflict theory?
"
