31_1	What is throat cancer?
31_2	Is throat cancer treatable ?
31_3	Tell me about lung cancer .
31_4	What are lung cancer's symptoms ?
31_5	Can lung cancer spread to the throat ?
31_6	What causes lung cancer ?
31_7	What is the first sign of lung cancer ?
31_8	Is esophageal cancer the same as esophageal cancer ?
31_9	What's the difference in esophageal cancer symptoms ?
32_1	What are the different types of sharks?
32_2	Are sharks endangered ?
32_3	Tell me more about tiger sharks .
32_4	What is the largest ever to have lived on Earth ?
32_5	What 's the biggest ever caught in the ocean ?
32_6	What about for great whites ?
32_7	Tell me about makos .
32_8	What are great white sharks' adaptations ?
32_9	Where do great white sharks live ?
32_10	What do great white sharks eat ?
32_11	How do great white sharks compare with tigers for being dangerous ?
33_1	Tell me about the Neverending Story film.
33_2	What is the Neverending Story film about ?
33_3	How was the Neverending Story film received ?
33_4	Did the Neverending Story film win any awards ?
33_5	Was the Neverendering Story film a book first ?
33_6	Who was the author and when what the Neverendering Story film published ?
33_7	What are the main themes of the Neverendering Story film ?
33_8	Who are the main characters in the Neverendering Story film ?
34_1	Tell me about the Bronze Age collapse.
34_2	What is the evidence for the Bronze Age collapse ?
34_3	What are some of the possible causes for the Bronze Age collapse ?
34_4	Who were the Sea peoples ?
34_5	What was the Sea peoples' role in the Bronze Age collapse ?
34_6	What other factors led to a breakdown of trade in the Bronze Age collapse ?
34_7	What about environmental factors in the Bronze Age collapse ?
34_8	What empires survived the Bronze Age collapse ?
37_1	What was the Stanford Experiment?
37_2	What did the Stanford experiment show ?
37_3	Tell me about the author of the Stanford experiment .
37_4	Was the Stanford experiment immoral ?
37_5	What are other similar experiments ?
37_6	What happened in the Milgram experiment ?
37_7	Why was the Milgram experiment important ?
37_8	What were the similarities and differences between the studies of the Stanford experiment ?
40_1	What are the origins of popular music? 
40_2	What are popular music's characteristics ?
40_3	What technological developments allowed popular music to evolve ?
40_4	When and why did people start taking pop seriously ?
40_5	How has it been integrated into music education ?
40_6	Describe some of the influential pop bands .
40_7	What makes a song pop punk ?
40_8	What is the difference between emo and pop punk ?
49_1	How was Netflix started? 
49_2	How did Netflix originally work ?
49_3	What is Netflix's relationship with Block buster ?
49_4	When did Netflix shift from DVDs to a streaming service ?
49_5	What are Netflix's other competitors besides Blockbuster ?
49_6	How does Netflix's competitor Amazon Prime Video compare to Netflix ?
49_7	Desc ribe Netflix's competitor Amazon Prime Video's subscriber growth over time .
49_8	How has Netflix's competitor Amazon Prime Video's subscriber growth changed the way TV is watched ?
50_1	What was the first artificial satellite?
50_2	What are the types of orbits for the International Space Station ?
50_3	What are the important classes of satellites ?
50_4	How do navigation systems work ?
50_5	What is the Galileo system and why is it important ?
50_6	Why did the Galileo system create tension with the US ?
50_7	What are Cubesats ?
50_8	What are Cubesats ?
54_1	What is worth seeing in Washington D.C.?
54_2	Which Smithsonian museums are the most popular ?
54_3	Why is the National Air and Space Museum important ?
54_4	Is the Spy Museum free ?
54_5	What is there to do in DC after the Spy Museum closes ?
54_6	What is the best time to visit the reflecting pools in DC ?
54_7	Are there any famous foods in DC ?
54_8	What is a DC half smoke ?
54_9	Tell me about the history of the DC Half - Smoke Reduction Program .
56_1	What is Darwin’s theory in a nutshell?
56_2	How was Darwin 's theory of evolution developed ?
56_3	How do sexual and a sexual reproduction affect Darwin � � s theory of evolution ?
56_4	How can fossils be used to understand Darwin's theory of evolution ?
56_5	What is modern evidence for Darwin 's theory of evolution ?
56_6	What is the impact on modern biology on Darwin ' s theory of evolution ?
56_7	Compare and contrast micro evolution and macro evolution .
56_8	What is the relationship to speciation in Darwin ' s theory of evolution ?
58_1	What is a real-time database?
58_2	How does a real - time database differ from traditional ones ?
58_3	What are the advantages of real - time processing ?
58_4	What are examples of important ones ?
58_5	What are important applications for real - time processing ?
58_6	What are important cloud options for real - time processing ?
58_7	Tell me about the Firebase DB .
58_8	How is FireBase DB used in mobile apps ?
59_1	Which weekend sports have the most injuries?
59_2	What are the most common types of injuries in football ?
59_3	What is the ACL ?
59_4	What is an ACL injury for the football player ?
59_5	Tell me about the RICE method for football players ?
59_6	Is there disagreement about the RICE method for football players ?
59_7	What is arnica used for ?
59_8	What are some ways to avoid injury in football ?
61_1	Who are The Avengers?
61_2	Tell me about The Avengers' first appearance .
61_3	Who is the most powerful and why ?
61_4	What is the relationship of Spider-Man to the team ?
61_5	Why is Batman not a member of The Avengers ?
61_6	What is an important team in the DC universe ?
61_7	Tell me about the origins of the Justice League .
61_8	Who are the important members of the Justice League ?
67_1	Why is blood red?
67_2	What are red blood cells ?
67_3	How are red blood cells created ?
67_4	How is oxygen transported ?
67_5	What is anemia ?
67_6	What are the symptoms of emia ?
67_7	Can emia go away ?
67_8	What are its possible causes ?
67_9	How is emia treated ?
67_10	What foods contain high levels of iron ?
67_11	What improves absorption ?
68_1	What is cuisine is Emilia-Romagna famous for?
68_2	Tell me about kitchens and classes in Emilia-Romagna .
68_3	What are famous foods from the region of Emilia-Romagna ?
68_4	Desc ribe the traditional process for making balsamic vinegar in Emilia-Romagna ?
68_5	What is mortadella and where is it from ?
68_6	What is the difference with Bologna for emilia-Romagna ?
68_7	Where was Parmesan cheese created ?
68_8	What is done with the whey after production of emilia-Romagna ?
68_9	What are typical pasta dishes in Emilia-Romagna ?
68_10	What is the history of tagliatelle al ragu bolognese in Emilia-Romagna ?
68_11	What are its common variations of the salad dressing in Emilia-Romagna ?
69_1	How do you sleep after jet lag?
69_2	Does melatonin help with sleep after jet lag ?
69_3	How was melatonin discovered ?
69_4	What are good sources in food for melatonin ?
69_5	Is melatonin bad for you ?
69_6	What are the side effects of melatonin ?
69_7	Why does melatonin require a prescription in the UK ?
69_8	How can I increase my melatonin naturally ?
69_9	Is melatonin effective for treating insomnia ?
69_10	How about for anxiety does melatonin help with ?
75_1	Why do turkey and Turkey share the same name?
75_2	Where are turkey and turkey from ?
75_3	What was turkey and turkey 's importance in native cultures ?
75_4	When and how were turkey and turkey domesticated ?
75_5	Can turkey and turkey flies ?
75_6	Why did Ben Franklin want turkey and turkey to be the national symbol ?
75_8	Why is turkey and turkey eaten on turkey and turkey ?
77_1	What's the difference between soup and stew?
77_2	Is chilli a stew ?
77_3	Is goulash a soup and stew ?
77_4	What are popular soup and stew in France ?
77_5	How is cassoulet made ?
77_6	Tell me about feijoada and its significance .
77_7	How is it similar or different from cassoulet ?
77_8	Tell about Bigosstew .
78_1	What is the keto diet?
78_2	Why was the Keto Diet original developed ?
78_3	What is the Keto Diet ?
78_4	What is Paleo ?
78_5	What do the Keto Diet have in common ?
78_6	How are the Keto Diet different ?
78_7	What is intermittent fasting ?
78_8	How is intermittent fasting related to the Keto Diet ?
79_1	What is taught in sociology?
79_2	What is the main contribution of Auguste Comte ?
79_3	What is the role of positivism in sociology ?
79_4	What is Herbert Spencer known for ?
79_5	How is Herbert Spencer 's work related to Comte ?
79_6	What is the functionalist theory ?
79_7	What is Herbert Spencer ' s functionalist theory ?
79_8	How does conflict theory compare to positivism ?
79_9	What are modern examples of conflict theory ?
