31_1	 What is throat cancer?
31_2	What is throat cancer? Is throat cancer treatable?
31_3	What is throat cancer? Tell me about lung cancer?
31_4	What is throat cancer? What are lung cancer's symptoms?
31_5	What is throat cancer? Can lung cancer spread to the throat?
31_6	What is throat cancer? What causes throat cancer?
31_7	What is throat cancer? What is the first sign of lung cancer?
31_8	What is throat cancer? Is cancer the same as esophageal cancer?
31_9	What is throat cancer? What's the difference in lung cancer's symptoms?
32_1	 What are the different types of sharks?
32_2	What are the different types of sharks? Are sharks endangered?
32_3	What are the different types of sharks? Tell me more about Tiger sharks?
32_4	What are the different types of sharks? What is the largest ever to have been on Earth?
32_5	What are the different types of sharks? What's the biggest ever caught?
32_6	What are the different types of sharks? What about for great whites?
32_7	What are the different types of sharks? Tell me about makos?
32_8	What are the different types of sharks? What are the great whites adaptations?
32_9	What are the different types of sharks? Where do great whites live?
32_10	What are the different types of sharks? What do great whites eat?
32_11	What are the different types of sharks? How do great whites compare with tigers for being dangerous?
33_1	 Tell me about the Neverending Story film.
33_2	Tell me about the Neverending Story film. What is the Neverending Story film about?
33_3	Tell me about the Neverending Story film. How was the Neverending Story film received?
33_4	Tell me about the Neverending Story film. Did the Neverending Story film win any awards?
33_5	Tell me about the Neverending Story film. Was the Neverending Story film a book first?
33_6	Tell me about the Neverending Story film. Who was the author and when what it published?
33_7	Tell me about the Neverending Story film. What are the main themes for the Neverending Story film?
33_8	Tell me about the Neverending Story film. Who are the main characters in the Neverending Story film?
34_1	 Tell me about the Bronze Age collapse.
34_2	Tell me about the Bronze Age collapse. What is the evidence for the Bronze Age collapse?
34_3	Tell me about the Bronze Age collapse. What are some of the possible causes of the Bronze Age collapse?
34_4	Tell me about the Bronze Age collapse. Who were the Sea Peoples in the Bronze Age collapse?
34_5	Tell me about the Bronze Age collapse. What was Sea Peoples' role in the Bronze Age collapse?
34_6	Tell me about the Bronze Age collapse. What other factors led to a breakdown of trade in the Bronze Age collapse?
34_7	Tell me about the Bronze Age collapse. What about environmental factors leading to the Bronze Age collapse?
34_8	Tell me about the Bronze Age collapse. What empires survived the Bronze Age collapse?
37_1	 What was the Stanford Experiment?
37_2	What was the Stanford Experiment? What did the Stanford Experiment show?
37_3	What was the Stanford Experiment? Tell me about the author of the Stanford Experiment?
37_4	What was the Stanford Experiment? Was the Stanford Experiment ethical?
37_5	What was the Stanford Experiment? What are other similar experiments?
37_6	What was the Stanford Experiment? What happened in the Milgram experiment?
37_7	What was the Stanford Experiment? Why was the Milgram experiment important?
37_8	What was the Stanford Experiment? What were the similarities and differences between the studies?
40_1	 What are the origins of popular music?
40_2	What are the origins of popular music? What are popular music's characteristics?
40_3	What are the origins of popular music? What technological developments enabled popular music?
40_4	What are the origins of popular music? When and why did people start taking pop seriously?
40_5	What are the origins of popular music? How has Pop Music been integrated into music education?
40_6	What are the origins of popular music? Describe some of the influential pop bands in music?
40_7	What are the origins of popular music? What makes a song pop punk?
40_8	What are the origins of popular music? What is the difference between Pop Music and Emo?
49_1	 How was Netflix started?
49_2	How was Netflix started? How did Netflix originally work?
49_3	How was Netflix started? What is Netflix's relationship with blockbuster?
49_4	How was Netflix started? When did Netflix shift from DVDs to a streaming service?
49_5	How was Netflix started? What are Netflix's other competitors besides Warner TV?
49_6	How was Netflix started? How does Netflix's video for Netflix compare to Amazon Prime Video?
49_7	How was Netflix started? Describe Netflix's subscriber growth over time?
49_8	How was Netflix started? How has Netflix changed the way TV is watched?
50_1	 What was the first artificial satellite?
50_2	What was the first artificial satellite? What are the types of orbits?
50_3	What was the first artificial satellite? What are the important classes of satellite in space?
50_4	What was the first artificial satellite? How do navigation systems work?
50_5	What was the first artificial satellite? What is the Galileo system and why is navigation important?
50_6	What was the first artificial satellite? Why did the Galileo system create tension with the US?
50_7	What was the first artificial satellite? What are Cubesats?
50_8	What was the first artificial satellite? What are Cubesats advantages?
54_1	 What is worth seeing in Washington D.C.?
54_2	What is worth seeing in Washington D.C.? Which Smithsonian museums are the most popular in Washington D.C.?
54_3	What is worth seeing in Washington D.C.? Why is the National Air and Space Museum important in Washington D.C.?
54_4	What is worth seeing in Washington D.C.? Is the Spy Museum in Washington D.C. free?
54_5	What is worth seeing in Washington D.C.? What is there to do in Washington after the Spy Museum close?
54_6	What is worth seeing in Washington D.C.? What is the best time to visit the reflecting pools in Washington D.C.?
54_7	What is worth seeing in Washington D.C.? Are there any famous foods in Washington D.C.?
54_8	What is worth seeing in Washington D.C.? What is a DC half smoke?
54_9	What is worth seeing in Washington D.C.? Tell me about DC D.C.'s history?
56_1	 What is Darwin’s theory in a nutshell?
56_2	What is Darwin’s theory in a nutshell? How was Darwin's theory developed?
56_3	What is Darwin’s theory in a nutshell? How do sexual and asexual reproduction affect Darwin's theory?
56_4	What is Darwin’s theory in a nutshell? How can fossils be used to understand Darwin's theory?
56_5	What is Darwin’s theory in a nutshell? What is modern evidence for Darwin's theory?
56_6	What is Darwin’s theory in a nutshell? What is the impact of Darwin's theory on modern biology?
56_7	What is Darwin’s theory in a nutshell? Compare and contrast microevolution and macroevolution as Darwin's theory?
56_8	What is Darwin’s theory in a nutshell? What is the relation between culture and origins?
58_1	 What is a real-time database?
58_2	What is a real-time database? How does Real-Time databases differ from traditional ones?
58_3	What is a real-time database? What are the advantages of real-time processing?
58_4	What is a real-time database? What are examples of important real-time databases?
58_5	What is a real-time database? What are important applications for real-time databases?
58_6	What is a real-time database? What are important cloud options for real-time databases?
58_7	What is a real-time database? Tell me about the Firebase DB.?
58_8	What is a real-time database? How is Firebase DB. used in mobile apps?
59_1	 Which weekend sports have the most injuries?
59_2	Which weekend sports have the most injuries? What are the most common types of injuries?
59_3	Which weekend sports have the most injuries? What is the ACL?
59_4	Which weekend sports have the most injuries? What is an injury for the ACL?
59_5	Which weekend sports have the most injuries? Tell me about the RICE technique?
59_6	Which weekend sports have the most injuries? Is there disagreement about RICE technique?
59_7	Which weekend sports have the most injuries? What is arnica used for?
59_8	Which weekend sports have the most injuries? What are some ways to avoid injury for the ACL?
61_1	 Who are The Avengers?
61_2	Who are The Avengers? Tell me about The Avengers' first appearance.
